==================================================
     TOP ARCHIVOS CON MAYOR VOLUMEN DE TEXTO      
==================================================

Se encontraron 798 archivos con contenido traducible.

LÍNEAS   | RUTA DEL ARCHIVO
129      | ./data/maps/RustboroCity_Gym/scripts.inc
129      | ./data/maps/LilycoveCity_ContestHall/scripts.inc
127      | ./data/maps/BattleFrontier_Lounge7/scripts.inc
118      | ./data/maps/FortreeCity_Gym/scripts.inc
114      | ./data/text/new_game_intro_frlg.inc
114      | ./data/maps/SlateportCity_OceanicMuseum_2F/scripts.inc
113      | ./data/maps/CeruleanCity_Frlg/scripts.inc
112      | ./data/maps/RustboroCity_PokemonSchool/scripts.inc
111      | ./data/maps/DewfordTown/scripts.inc
110      | ./data/maps/DewfordTown_Gym/scripts.inc
109      | ./src/data/easy_chat/easy_chat_group_status.h
109      | ./data/maps/BattleFrontier_BattlePikeRoomNormal/scripts.inc
109      | ./data/maps/Route104/scripts.inc
108      | ./data/text/trainer_card_frlg.inc
108      | ./data/maps/CinnabarIsland_Gym_Frlg/scripts.inc
107      | ./data/maps/SlateportCity_Harbor/scripts.inc
107      | ./data/maps/TrainerHill_Entrance/scripts.inc
106      | ./data/maps/SootopolisCity_Gym_1F/scripts.inc
105      | ./data/maps/BattleFrontier_BattlePikeLobby/scripts.inc
103      | ./data/maps/BattleFrontier_BattleFactoryPreBattleRoom/scripts.inc
102      | ./data/maps/SlateportCity_PokemonFanClub/scripts.inc
102      | ./data/maps/BattleFrontier_ScottsHouse/scripts.inc
102      | ./data/maps/SlateportCity_OceanicMuseum_1F/scripts.inc
101      | ./data/maps/MauvilleCity_Gym/scripts.inc
101      | ./data/maps/ViridianCity_Gym_Frlg/scripts.inc
101      | ./data/maps/ThreeIsland_Frlg/scripts.inc
100      | ./data/maps/MauvilleCity_BikeShop/scripts.inc
98       | ./data/maps/PetalburgWoods/scripts.inc
98       | ./data/maps/FuchsiaCity_Gym_Frlg/scripts.inc
97       | ./data/maps/Route119/scripts.inc
96       | ./data/maps/SaffronCity_Gym_Frlg/scripts.inc
94       | ./data/maps/Route111/scripts.inc
94       | ./data/maps/MossdeepCity_SpaceCenter_2F/scripts.inc
94       | ./data/maps/LittlerootTown_BrendansHouse_1F/scripts.inc
93       | ./data/maps/BattleFrontier_ExchangeServiceCorner/scripts.inc
93       | ./data/maps/LavaridgeTown/scripts.inc
93       | ./data/maps/EverGrandeCity_ChampionsRoom/scripts.inc
92       | ./data/maps/MossdeepCity_SpaceCenter_1F/scripts.inc
92       | ./data/maps/CeladonCity_Gym_Frlg/scripts.inc
90       | ./src/data/battle_frontier/battle_tent.h
89       | ./src/data/trade.h
89       | ./data/maps/FiveIsland_RocketWarehouse_Frlg/scripts.inc
87       | ./data/text/braille.inc
86       | ./data/maps/VermilionCity_Gym_Frlg/scripts.inc
85       | ./data/maps/PewterCity_Gym_Frlg/scripts.inc
85       | ./data/maps/MossdeepCity/scripts.inc
84       | ./src/data/graphics/decorations.h
84       | ./data/maps/Route116/scripts.inc
84       | ./data/maps/SixIsland_PatternBush_Frlg/scripts.inc
83       | ./data/maps/LilycoveCity_LilycoveMuseum_1F/scripts.inc
83       | ./data/maps/PokemonLeague_ChampionsRoom_Frlg/scripts.inc
83       | ./data/maps/ViridianCity_Frlg/scripts.inc
82       | ./data/maps/MauvilleCity_GameCorner/scripts.inc
82       | ./data/maps/BattleFrontier_BattlePyramidTop/scripts.inc
81       | ./data/maps/BattleFrontier_BattlePalaceBattleRoom/scripts.inc
80       | ./data/maps/SilphCo_7F_Frlg/scripts.inc
79       | ./data/maps/Route14_Frlg/scripts.inc
79       | ./data/maps/Route110_TrickHouseEntrance/scripts.inc
79       | ./data/maps/BattleFrontier_BattleArenaBattleRoom/scripts.inc
79       | ./data/maps/Route8_Frlg/scripts.inc
79       | ./data/maps/RustboroCity_DevonCorp_3F/scripts.inc
79       | ./data/maps/VermilionCity_Frlg/scripts.inc
78       | ./src/data/easy_chat/easy_chat_group_actions.h
78       | ./data/maps/PewterCity_Frlg/scripts.inc
78       | ./data/maps/Route25_SeaCottage_Frlg/scripts.inc
78       | ./data/maps/CeladonCity_GameCorner_Frlg/scripts.inc
78       | ./data/maps/OneIsland_KindleRoad_Frlg/scripts.inc
77       | ./data/scripts/day_care.inc
77       | ./data/maps/Route15_Frlg/scripts.inc
77       | ./data/maps/TwoIsland_JoyfulGameCorner_Frlg/scripts.inc
77       | ./data/maps/RustboroCity_DevonCorp_2F/scripts.inc
77       | ./data/maps/Route19_Frlg/scripts.inc
76       | ./data/maps/Route119_WeatherInstitute_2F/scripts.inc
76       | ./data/maps/Route110_TrickHousePuzzle5/scripts.inc
76       | ./data/maps/SlateportCity_BattleTentCorridor/scripts.inc
76       | ./data/maps/TrainerTower_Lobby_Frlg/scripts.inc
75       | ./src/data/easy_chat/easy_chat_group_people.h
75       | ./data/maps/RusturfTunnel/scripts.inc
75       | ./data/maps/BattleFrontier_BattleTowerBattleRoom/scripts.inc
75       | ./data/maps/SevenIsland_SevaultCanyon_Frlg/scripts.inc
75       | ./data/maps/PalletTown_RivalsHouse_Frlg/scripts.inc
74       | ./data/maps/LittlerootTown/scripts.inc
74       | ./data/maps/LilycoveCity_LilycoveMuseum_2F/scripts.inc
73       | ./data/maps/MeteorFalls_1F_2R/scripts.inc
73       | ./data/maps/Route12_Frlg/scripts.inc
73       | ./data/maps/Route110_TrickHouseEnd/scripts.inc
72       | ./data/maps/LittlerootTown_MaysHouse_1F/scripts.inc
71       | ./data/maps/MtEmber_Exterior_Frlg/scripts.inc
70       | ./data/maps/LittlerootTown_MaysHouse_2F/scripts.inc
70       | ./data/maps/SootopolisCity_Gym_B1F/scripts.inc
70       | ./data/maps/RustboroCity_Flat1_2F/scripts.inc
70       | ./data/maps/CeladonCity_Frlg/scripts.inc
70       | ./data/maps/SeafloorCavern_Room9/scripts.inc
69       | ./src/data/easy_chat/easy_chat_group_endings.h
69       | ./src/data/easy_chat/easy_chat_group_conditions.h
69       | ./data/text/day_care_frlg.inc
68       | ./data/maps/LilycoveCity_ContestLobby/scripts.inc
66       | ./data/maps/FuchsiaCity_Frlg/scripts.inc
65       | ./src/data/graphics/battle_environment.h
65       | ./data/maps/SaffronCity_Frlg/scripts.inc
64       | ./data/maps/MagmaHideout_4F/scripts.inc
64       | ./data/maps/SevenIsland_House_Room1_Frlg/scripts.inc
63       | ./src/data/easy_chat/easy_chat_group_battle.h
63       | ./src/data/easy_chat/easy_chat_group_voices.h
63       | ./data/maps/JaggedPass/scripts.inc
63       | ./data/maps/ViridianCity_School_Frlg/scripts.inc
63       | ./data/maps/BattleFrontier_BattleDomePreBattleRoom/scripts.inc
63       | ./data/maps/VermilionCity_PokemonFanClub_Frlg/scripts.inc
63       | ./data/maps/SootopolisCity_LotadAndSeedotHouse/scripts.inc
63       | ./data/maps/BattleFrontier_Lounge1/scripts.inc
62       | ./data/maps/Route13_Frlg/scripts.inc
61       | ./data/scripts/flavor_text.inc
60       | ./src/data/easy_chat/easy_chat_group_speech.h
60       | ./data/maps/SilphCo_11F_Frlg/scripts.inc
60       | ./data/maps/TwoIsland_Frlg/scripts.inc
60       | ./data/maps/VerdanturfTown_WandasHouse/scripts.inc
60       | ./data/maps/CeruleanCity_Gym_Frlg/scripts.inc
59       | ./data/scripts/berry_tree.inc
59       | ./data/maps/SSTidalRooms/scripts.inc
59       | ./data/maps/ViridianForest_Frlg/scripts.inc
59       | ./data/maps/Route17_Frlg/scripts.inc
59       | ./data/maps/Route12_FishingHouse_Frlg/scripts.inc
59       | ./data/maps/Route25_Frlg/scripts.inc
59       | ./data/maps/SlateportCity_SternsShipyard_1F/scripts.inc
58       | ./src/data/contest_text_tables.h
58       | ./src/data/easy_chat/easy_chat_group_events.h
57       | ./src/data/contest_moves.h
57       | ./src/data/graphics/pokeballs.h
57       | ./data/maps/FiveIsland_MemorialPillar_Frlg/scripts.inc
57       | ./data/maps/MeteorFalls_1F_1R/scripts.inc
57       | ./data/maps/Route113_GlassWorkshop/scripts.inc
57       | ./data/maps/VictoryRoad_1F/scripts.inc
57       | ./data/maps/Route20_Frlg/scripts.inc
56       | ./data/text/blend_master.inc
56       | ./data/maps/PalletTown_Frlg/scripts.inc
56       | ./data/maps/Route16_Frlg/scripts.inc
55       | ./data/maps/BattleFrontier_BattlePikeThreePathRoom/scripts.inc
55       | ./data/maps/Route109/scripts.inc
54       | ./src/data/easy_chat/easy_chat_group_hobbies.h
54       | ./data/maps/SSTidalCorridor/scripts.inc
54       | ./data/maps/SaffronCity_Dojo_Frlg/scripts.inc
53       | ./data/maps/MtPyre_2F/scripts.inc
53       | ./data/maps/AbandonedShip_Rooms2_1F/scripts.inc
53       | ./data/maps/LilycoveCity_House3/scripts.inc
53       | ./data/maps/Route24_Frlg/scripts.inc
53       | ./data/maps/FourIsland_IcefallCave_Back_Frlg/scripts.inc
52       | ./data/text/event_ticket_2.inc
52       | ./data/maps/VictoryRoad_3F_Frlg/scripts.inc
52       | ./data/maps/BattleFrontier_Lounge5/scripts.inc
52       | ./data/maps/PetalburgCity_WallysHouse/scripts.inc
52       | ./data/maps/Route3_Frlg/scripts.inc
52       | ./data/maps/SixIsland_WaterPath_Frlg/scripts.inc
51       | ./src/data/graphics/rayquaza_scene.h
51       | ./data/maps/SaffronCity_CopycatsHouse_2F_Frlg/scripts.inc
51       | ./data/maps/ThreeIsland_BondBridge_Frlg/scripts.inc
51       | ./data/maps/SevenIsland_SevaultCanyon_Entrance_Frlg/scripts.inc
51       | ./data/maps/CinnabarIsland_Frlg/scripts.inc
51       | ./data/maps/Route11_Frlg/scripts.inc
50       | ./data/maps/PewterCity_Museum_1F_Frlg/scripts.inc
50       | ./data/maps/LilycoveCity_CoveLilyMotel_2F/scripts.inc
50       | ./data/maps/Route9_Frlg/scripts.inc
50       | ./data/maps/Route4_Frlg/scripts.inc
50       | ./data/maps/CeruleanCity_House1_Frlg/scripts.inc
49       | ./data/scripts/profile_man.inc
49       | ./data/scripts/secret_base.inc
49       | ./data/maps/AquaHideout_1F/scripts.inc
48       | ./data/text/lottery_corner.inc
48       | ./data/maps/Route22_Frlg/scripts.inc
47       | ./src/data/text/gift_ribbon_descriptions.h
47       | ./data/maps/RockTunnel_B1F_Frlg/scripts.inc
47       | ./data/maps/BattleFrontier_BattleFactoryBattleRoom/scripts.inc
47       | ./data/maps/MtMoon_1F_Frlg/scripts.inc
47       | ./data/maps/FiveIsland_ResortGorgeous_Frlg/scripts.inc
46       | ./src/data/graphics/slot_machine.h
46       | ./data/maps/SixIsland_OutcastIsland_Frlg/scripts.inc
46       | ./data/maps/MossdeepCity_StevensHouse/scripts.inc
46       | ./data/maps/CinnabarIsland_PokemonLab_ExperimentRoom_Frlg/scripts.inc
46       | ./data/maps/SixIsland_RuinValley_Frlg/scripts.inc
46       | ./data/maps/AquaHideout_B2F/scripts.inc
46       | ./data/maps/CeruleanCity_House4_Frlg/scripts.inc
46       | ./data/maps/CeruleanCity_House5_Frlg/scripts.inc
45       | ./src/data/easy_chat/easy_chat_group_lifestyle.h
45       | ./src/data/easy_chat/easy_chat_group_time.h
45       | ./data/maps/Route120/scripts.inc
45       | ./data/maps/Route109_SeashoreHouse/scripts.inc
45       | ./data/maps/FiveIsland_ResortGorgeous_House_Frlg/scripts.inc
45       | ./data/maps/FuchsiaCity_SafariZone_Entrance_Frlg/scripts.inc
45       | ./data/maps/CaveOfOrigin_B1F/scripts.inc
44       | ./src/data/types_info.h
44       | ./data/text/birch_speech.inc
44       | ./data/maps/SilphCo_5F_Frlg/scripts.inc
44       | ./data/maps/CeladonCity_DepartmentStore_Roof_Frlg/scripts.inc
44       | ./data/maps/PokemonLeague_LancesRoom_Frlg/scripts.inc
44       | ./data/maps/Route10_Frlg/scripts.inc
44       | ./data/maps/Route104_MrBrineysHouse/scripts.inc
44       | ./data/maps/RustboroCity_DevonCorp_1F/scripts.inc
43       | ./data/maps/FortreeCity/scripts.inc
43       | ./data/maps/Route103/scripts.inc
43       | ./data/maps/OneIsland_Frlg/scripts.inc
43       | ./data/maps/Route114_LanettesHouse/scripts.inc
43       | ./data/maps/Route128/scripts.inc
42       | ./src/data/easy_chat/easy_chat_group_misc.h
42       | ./src/data/easy_chat/easy_chat_group_greetings.h
42       | ./include/test/battle.h
42       | ./data/scripts/mystery_event_club.inc
42       | ./data/maps/Route21_South_Frlg/scripts.inc
42       | ./data/maps/VerdanturfTown/scripts.inc
42       | ./data/maps/MtMoon_B2F_Frlg/scripts.inc
42       | ./data/maps/FourIsland_Frlg/scripts.inc
41       | ./data/maps/VerdanturfTown_BattleTentLobby/scripts.inc
41       | ./data/maps/CeladonCity_DepartmentStore_3F_Frlg/scripts.inc
40       | ./data/scripts/field_move_scripts.inc
40       | ./data/maps/FuchsiaCity_WardensHouse_Frlg/scripts.inc
40       | ./data/maps/SilphCo_2F_Frlg/scripts.inc
40       | ./data/maps/LilycoveCity_CoveLilyMotel_1F/scripts.inc
39       | ./test/battle/trainer_slides.h
39       | ./data/maps/MtPyre_3F/scripts.inc
39       | ./data/maps/FiveIsland_WaterLabyrinth_Frlg/scripts.inc
39       | ./data/maps/LavenderTown_VolunteerPokemonHouse_Frlg/scripts.inc
39       | ./data/maps/VictoryRoad_B2F/scripts.inc
39       | ./data/maps/RockTunnel_1F_Frlg/scripts.inc
39       | ./data/maps/Route119_WeatherInstitute_1F/scripts.inc
38       | ./data/maps/PetalburgCity/scripts.inc
38       | ./data/maps/Route110_TrickHousePuzzle7/scripts.inc
38       | ./data/maps/Route11_EastEntrance_2F_Frlg/scripts.inc
38       | ./data/maps/SilphCo_6F_Frlg/scripts.inc
38       | ./data/maps/OneIsland_KindleRoad_EmberSpa_Frlg/scripts.inc
37       | ./data/maps/Route118/scripts.inc
36       | ./src/data/easy_chat/easy_chat_group_adjectives.h
36       | ./src/data/graphics/mail.h
36       | ./src/data/graphics/gimmicks.h
36       | ./src/data/graphics/intro_scene.h
36       | ./data/text/shoal_cave.inc
36       | ./data/maps/TwoIsland_CapeBrink_House_Frlg/scripts.inc
36       | ./data/maps/OldaleTown/scripts.inc
35       | ./src/data/battle_environment.h
35       | ./data/maps/SSAnne_CaptainsOffice_Frlg/scripts.inc
35       | ./data/maps/Route6_Frlg/scripts.inc
35       | ./data/maps/Route5_PokemonDayCare_Frlg/scripts.inc
34       | ./data/maps/FallarborTown_BattleTentLobby/scripts.inc
34       | ./data/maps/FallarborTown_CozmosHouse/scripts.inc
34       | ./data/maps/Route10_PokemonCenter_1F_Frlg/scripts.inc
34       | ./data/maps/CeladonCity_Condominiums_RoofRoom_Frlg/scripts.inc
33       | ./src/data/easy_chat/easy_chat_group_trendy_saying.h
33       | ./data/maps/PacifidlogTown_House2/scripts.inc
33       | ./data/maps/IndigoPlateau_PokemonCenter_1F_Frlg/scripts.inc
33       | ./data/maps/PokemonLeague_AgathasRoom_Frlg/scripts.inc
33       | ./data/maps/VictoryRoad_B1F/scripts.inc
33       | ./data/maps/VermilionCity_PokemonCenter_1F_Frlg/scripts.inc
33       | ./data/maps/SeafloorCavern_Room3/scripts.inc
32       | ./src/data/party_menu.h
32       | ./include/move.h
32       | ./data/text/pkmn_center_nurse.inc
32       | ./data/maps/SootopolisCity_MysteryEventsHouse_1F/scripts.inc
32       | ./data/maps/Route124_DivingTreasureHuntersHouse/scripts.inc
32       | ./data/maps/RocketHideout_B4F_Frlg/scripts.inc
32       | ./data/maps/CeruleanCity_BikeShop_Frlg/scripts.inc
32       | ./data/maps/FiveIsland_Meadow_Frlg/scripts.inc
32       | ./data/maps/Route111_WinstrateFamilysHouse/scripts.inc
32       | ./data/maps/Route4_PokemonCenter_1F_Frlg/scripts.inc
32       | ./data/maps/PewterCity_Museum_2F_Frlg/scripts.inc
31       | ./data/text/ingame_trade_frlg.inc
31       | ./data/maps/MagmaHideout_2F_2R/scripts.inc
31       | ./data/maps/Route16_NorthEntrance_2F_Frlg/scripts.inc
31       | ./data/maps/SixIsland_WaterPath_House1_Frlg/scripts.inc
30       | ./data/maps/SlateportCity_NameRatersHouse/scripts.inc
30       | ./data/maps/SixIsland_PokemonCenter_1F_Frlg/scripts.inc
30       | ./data/maps/PokemonTower_7F_Frlg/scripts.inc
29       | ./data/text/pc_transfer.inc
29       | ./data/maps/LavenderTown_House2_Frlg/scripts.inc
29       | ./data/maps/SevenIsland_TanobyRuins_Frlg/scripts.inc
29       | ./data/maps/Route15_WestEntrance_2F_Frlg/scripts.inc
29       | ./data/maps/AquaHideout_B1F/scripts.inc
29       | ./data/maps/ThreeIsland_BerryForest_Frlg/scripts.inc
28       | ./data/text/questionnaire.inc
28       | ./data/maps/LilycoveCity_Harbor/scripts.inc
28       | ./data/maps/BattleFrontier_BattleTowerMultiBattleRoom/scripts.inc
28       | ./data/maps/SSAnne_Kitchen_Frlg/scripts.inc
28       | ./data/maps/PetalburgCity_PokemonCenter_1F/scripts.inc
28       | ./data/maps/MagmaHideout_2F_1R/scripts.inc
28       | ./data/maps/Route114_FossilManiacsTunnel/scripts.inc
28       | ./data/maps/MossdeepCity_GameCorner_1F/scripts.inc
28       | ./data/maps/FourIsland_PokemonCenter_1F_Frlg/scripts.inc
27       | ./src/data/easy_chat/easy_chat_group_trainer.h
27       | ./data/scripts/secret_power_tm.inc
27       | ./data/text/mauville_man.inc
27       | ./data/maps/SSAnne_2F_Corridor_Frlg/scripts.inc
27       | ./data/maps/TwoIsland_House_Frlg/scripts.inc
26       | ./data/text/obtain_item.inc
26       | ./data/text/event_ticket_1.inc
26       | ./data/maps/Route101/scripts.inc
26       | ./data/maps/PokemonLeague_BrunosRoom_Frlg/scripts.inc
26       | ./data/maps/CinnabarIsland_PokemonCenter_1F_Frlg/scripts.inc
26       | ./data/maps/GraniteCave_StevensRoom/scripts.inc
26       | ./data/maps/FallarborTown/scripts.inc
25       | ./data/maps/VictoryRoad_2F_Frlg/scripts.inc
25       | ./data/maps/PacifidlogTown_House3/scripts.inc
25       | ./data/maps/LilycoveCity_DepartmentStore_1F/scripts.inc
25       | ./data/maps/Route116_TunnelersRestHouse/scripts.inc
25       | ./data/maps/PokemonLeague_LoreleisRoom_Frlg/scripts.inc
25       | ./sound/programmable_wave_data.inc
24       | ./data/scripts/gift_trainer.inc
24       | ./data/maps/SevenIsland_Frlg/scripts.inc
24       | ./data/maps/SilphCo_8F_Frlg/scripts.inc
24       | ./data/maps/CeladonCity_Condominiums_3F_Frlg/scripts.inc
24       | ./data/maps/SeafloorCavern_Entrance/scripts.inc
24       | ./data/maps/FortreeCity_House2/scripts.inc
24       | ./data/maps/PalletTown_PlayersHouse_1F_Frlg/scripts.inc
24       | ./data/maps/BattleFrontier_Lounge8/scripts.inc
23       | ./data/text/move_relearner.inc
23       | ./data/maps/EverGrandeCity_DrakesRoom/scripts.inc
23       | ./data/maps/RocketHideout_B1F_Frlg/scripts.inc
23       | ./data/maps/Route110_TrickHousePuzzle6/scripts.inc
23       | ./data/maps/MeteorFalls_StevensCave/scripts.inc
23       | ./data/maps/MagmaHideout_1F/scripts.inc
23       | ./data/maps/RustboroCity_CuttersHouse/scripts.inc
23       | ./data/maps/FuchsiaCity_House2_Frlg/scripts.inc
23       | ./data/maps/SlateportCity_BattleTentLobby/scripts.inc
23       | ./data/maps/FallarborTown_MoveRelearnersHouse/scripts.inc
23       | ./data/maps/PokemonTower_5F_Frlg/scripts.inc
22       | ./src/data/easy_chat/easy_chat_groups.h
22       | ./src/data/region_map/city_map_tilemaps.h
22       | ./data/maps/Route2_EastBuilding_Frlg/scripts.inc
22       | ./data/maps/FallarborTown_PokemonCenter_1F/scripts.inc
22       | ./data/maps/SkyPillar_Outside/scripts.inc
22       | ./data/maps/FortreeCity_House1/scripts.inc
22       | ./data/maps/VerdanturfTown_FriendshipRatersHouse/scripts.inc
22       | ./data/maps/AbandonedShip_Rooms_1F/scripts.inc
22       | ./data/maps/Route110_TrickHousePuzzle3/scripts.inc
22       | ./data/maps/Route21_North_Frlg/scripts.inc
22       | ./data/maps/LavenderTown_Frlg/scripts.inc
22       | ./data/maps/PokemonTower_2F_Frlg/scripts.inc
22       | ./data/maps/Route110_TrickHousePuzzle8/scripts.inc
21       | ./data/maps/FourIsland_LoreleisHouse_Frlg/scripts.inc
21       | ./data/maps/CeladonCity_Condominiums_1F_Frlg/scripts.inc
21       | ./data/maps/SilphCo_9F_Frlg/scripts.inc
21       | ./data/maps/DewfordTown_House2/scripts.inc
21       | ./data/maps/Route12_NorthEntrance_2F_Frlg/scripts.inc
21       | ./data/maps/Route110_TrickHousePuzzle4/scripts.inc
21       | ./data/maps/Route102/scripts.inc
21       | ./data/maps/BattleFrontier_Lounge6/scripts.inc
21       | ./data/maps/CeladonCity_Restaurant_Frlg/scripts.inc
21       | ./data/maps/LittlerootTown_BrendansHouse_2F/scripts.inc
21       | ./data/maps/SilphCo_4F_Frlg/scripts.inc
20       | ./data/maps/LilycoveCity_MoveDeletersHouse/scripts.inc
20       | ./data/maps/MtPyre_6F/scripts.inc
20       | ./data/maps/SafariZone_SecretHouse_Frlg/scripts.inc
20       | ./data/maps/Route110_TrickHousePuzzle2/scripts.inc
20       | ./data/maps/FortreeCity_PokemonCenter_1F/scripts.inc
20       | ./data/maps/VermilionCity_House1_Frlg/scripts.inc
20       | ./data/maps/MauvilleCity_House1/scripts.inc
19       | ./src/data/text/ribbon_descriptions.h
19       | ./include/test/overworld_script.h
19       | ./data/scripts/route23.inc
19       | ./data/text/save.inc
19       | ./data/maps/ThreeIsland_DunsparceTunnel_Frlg/scripts.inc
19       | ./data/maps/VerdanturfTown_BattleTentCorridor/scripts.inc
19       | ./data/maps/CeruleanCity_PokemonCenter_1F_Frlg/scripts.inc
19       | ./data/maps/PokemonTower_6F_Frlg/scripts.inc
19       | ./data/maps/FuchsiaCity_House3_Frlg/scripts.inc
19       | ./data/maps/Route110_TrickHousePuzzle1/scripts.inc
19       | ./data/maps/FortreeCity_House4/scripts.inc
19       | ./data/maps/Route113/scripts.inc
18       | ./asm/macros/event.inc
18       | ./src/data/graphics/berry_fix.h
18       | ./data/maps/Route5_SouthEntrance_Frlg/scripts.inc
18       | ./data/maps/Route8_WestEntrance_Frlg/scripts.inc
18       | ./data/maps/EverGrandeCity_PhoebesRoom/scripts.inc
18       | ./data/maps/BattleFrontier_RankingHall/scripts.inc
18       | ./data/maps/MagmaHideout_3F_1R/scripts.inc
18       | ./data/maps/Route1_Frlg/scripts.inc
18       | ./data/maps/EverGrandeCity_PokemonCenter_1F/scripts.inc
18       | ./data/maps/Route6_NorthEntrance_Frlg/scripts.inc
18       | ./data/maps/BattleFrontier_BattlePalaceCorridor/scripts.inc
18       | ./data/maps/LavenderTown_Mart_Frlg/scripts.inc
18       | ./data/maps/LilycoveCity_DepartmentStoreRooftop/scripts.inc
18       | ./data/maps/RustboroCity_House1/scripts.inc
18       | ./data/maps/Route18_Frlg/scripts.inc
18       | ./data/maps/PokemonTower_3F_Frlg/scripts.inc
18       | ./data/maps/SixIsland_DottedHole_SapphireRoom_Frlg/scripts.inc
18       | ./data/maps/Route112/scripts.inc
18       | ./data/maps/Route7_EastEntrance_Frlg/scripts.inc
